"gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","comparison_type","method"
"Rnpep","NK_cells",-0.539,5.38,4.91,0.0476,0.165,0.159,"WB","Compartment","muscat_edgeR"
"Timm17a","NK_cells",0.152,5.75,0.448,0.516,0.694,0.686,"WB","Compartment","muscat_edgeR"
"Ipo9","NK_cells",-0.606,5.64,4.86,0.0486,0.167,0.161,"WB","Compartment","muscat_edgeR"
"Csrp1","NK_cells",0.0438,5.7,0.0305,0.864,0.929,0.926,"WB","Compartment","muscat_edgeR"
"Kif21b","NK_cells",-0.109,7.88,0.417,0.531,0.707,0.698,"WB","Compartment","muscat_edgeR"
"Camsap2","NK_cells",0.00747,5.19,0.00047,0.983,0.991,0.991,"WB","Compartment","muscat_edgeR"
"Zfp281","NK_cells",0.583,5.27,5.08,0.0445,0.159,0.153,"WB","Compartment","muscat_edgeR"
"Ptprc","NK_cells",0.265,11.8,4.03,0.0686,0.206,0.199,"WB","Compartment","muscat_edgeR"
"Nek7","NK_cells",-0.237,6.99,1.53,0.241,0.442,0.428,"WB","Compartment","muscat_edgeR"
"Dennd1b","NK_cells",-0.408,7.97,4.18,0.0643,0.198,0.191,"WB","Compartment","muscat_edgeR"
"Aspm","NK_cells",-4.13,3.29,17.1,0.00149,0.0194,0.0249,"WB","Compartment","muscat_edgeR"
"Cdc73","NK_cells",-0.298,6.2,1.75,0.212,0.411,0.396,"WB","Compartment","muscat_edgeR"
"Glrx2","NK_cells",0.209,5.45,0.63,0.443,0.634,0.624,"WB","Compartment","muscat_edgeR"
"Uchl5","NK_cells",-0.0491,5.85,0.041,0.843,0.917,0.914,"WB","Compartment","muscat_edgeR"
"Rgs2","NK_cells",1.27,7.56,43.8,0.00003,0.00168,0.00327,"WB","Compartment","muscat_edgeR"
"Rgs1","NK_cells",1.82,7.42,47.1,0.0000214,0.0015,0.00281,"WB","Compartment","muscat_edgeR"
"Odr4","NK_cells",0.391,4.9,0.855,0.374,0.574,0.562,"WB","Compartment","muscat_edgeR"
"Tpr","NK_cells",0.163,9,1.4,0.261,0.465,0.451,"WB","Compartment","muscat_edgeR"
"Ivns1abp","NK_cells",0.433,6.75,3.05,0.107,0.271,0.26,"WB","Compartment","muscat_edgeR"
"Swt1","NK_cells",0.121,5.96,0.339,0.572,0.736,0.729,"WB","Compartment","muscat_edgeR"
"Trmt1l","NK_cells",-0.318,6.07,1.61,0.23,0.432,0.417,"WB","Compartment","muscat_edgeR"
"Rnf2","NK_cells",0.252,5.92,0.922,0.357,0.557,0.546,"WB","Compartment","muscat_edgeR"
"Niban1","NK_cells",-1.23,6.51,28.4,0.000205,0.00574,0.00914,"WB","Compartment","muscat_edgeR"
"Edem3","NK_cells",-0.682,5.86,8.47,0.0136,0.077,0.0784,"WB","Compartment","muscat_edgeR"
"1700025G04Rik","NK_cells",-0.326,8.18,3.59,0.0835,0.232,0.222,"WB","Compartment","muscat_edgeR"
"Rgl1","NK_cells",-0.38,5.82,1.7,0.217,0.417,0.402,"WB","Compartment","muscat_edgeR"
"Arpc5","NK_cells",0.371,8.78,6.07,0.0306,0.126,0.123,"WB","Compartment","muscat_edgeR"
"Ncf2","NK_cells",-2.84,5.64,19.8,0.000867,0.0142,0.0192,"WB","Compartment","muscat_edgeR"
"Smg7","NK_cells",0.497,6.8,5.74,0.0345,0.135,0.132,"WB","Compartment","muscat_edgeR"
"Dhx9","NK_cells",0.339,8.02,4.45,0.0575,0.186,0.179,"WB","Compartment","muscat_edgeR"
"Rnasel","NK_cells",-0.131,5.5,0.198,0.665,0.803,0.798,"WB","Compartment","muscat_edgeR"
"Glul","NK_cells",0.692,6.46,5.95,0.0319,0.13,0.127,"WB","Compartment","muscat_edgeR"
"Ier5","NK_cells",1.22,7.78,46.1,0.0000234,0.00155,0.00291,"WB","Compartment","muscat_edgeR"
"Stx6","NK_cells",-0.563,5.34,3.76,0.0773,0.222,0.213,"WB","Compartment","muscat_edgeR"
"Xpr1","NK_cells",0.034,6.53,0.0219,0.885,0.939,0.938,"WB","Compartment","muscat_edgeR"
"Acbd6","NK_cells",-0.279,6.05,1.78,0.208,0.407,0.392,"WB","Compartment","muscat_edgeR"
"Qsox1","NK_cells",0.00471,4.76,0.000123,0.991,0.996,0.996,"WB","Compartment","muscat_edgeR"
"Cep350","NK_cells",-0.147,7.69,0.566,0.467,0.653,0.644,"WB","Compartment","muscat_edgeR"
"Tor1aip1","NK_cells",0.179,6.81,0.766,0.399,0.596,0.585,"WB","Compartment","muscat_edgeR"
"Tor1aip2","NK_cells",0.144,6.69,0.566,0.467,0.653,0.644,"WB","Compartment","muscat_edgeR"
"Soat1","NK_cells",-0.421,4.73,1.44,0.255,0.459,0.443,"WB","Compartment","muscat_edgeR"
"Abl2","NK_cells",-0.472,5.58,2.37,0.151,0.334,0.321,"WB","Compartment","muscat_edgeR"
"Fam20b","NK_cells",-0.337,5.23,1.11,0.313,0.516,0.503,"WB","Compartment","muscat_edgeR"
"Cop1","NK_cells",-0.692,6.42,5.28,0.0411,0.151,0.146,"WB","Compartment","muscat_edgeR"
"4930523C07Rik","NK_cells",0.0845,6.95,0.179,0.68,0.814,0.809,"WB","Compartment","muscat_edgeR"
"Mrps14","NK_cells",0.206,6.77,1.05,0.326,0.529,0.516,"WB","Compartment","muscat_edgeR"
"Cacybp","NK_cells",0.807,7.24,19.7,0.000893,0.0144,0.0195,"WB","Compartment","muscat_edgeR"
"Rabgap1l","NK_cells",-0.202,8.62,1.6,0.23,0.432,0.417,"WB","Compartment","muscat_edgeR"
"Rc3h1","NK_cells",0.106,7.1,0.213,0.653,0.795,0.79,"WB","Compartment","muscat_edgeR"
"Zbtb37","NK_cells",-0.852,4.39,4.19,0.0643,0.198,0.191,"WB","Compartment","muscat_edgeR"
"Gas5","NK_cells",-0.121,7.88,0.54,0.477,0.661,0.653,"WB","Compartment","muscat_edgeR"
"Klhl20","NK_cells",-0.334,5.46,1.53,0.24,0.442,0.427,"WB","Compartment","muscat_edgeR"
"Prdx6","NK_cells",0.61,6.88,10.6,0.0073,0.0535,0.0566,"WB","Compartment","muscat_edgeR"
"Fasl","NK_cells",1.51,7.92,46.8,0.0000218,0.0015,0.00284,"WB","Compartment","muscat_edgeR"
"Suco","NK_cells",1.12,7.68,45.2,0.0000258,0.00156,0.00303,"WB","Compartment","muscat_edgeR"
"Vamp4","NK_cells",0.52,5.92,4.21,0.0636,0.197,0.19,"WB","Compartment","muscat_edgeR"
"Prrc2c","NK_cells",0.139,9.18,1.1,0.316,0.518,0.506,"WB","Compartment","muscat_edgeR"
"Scyl3","NK_cells",0.457,5.32,2.6,0.134,0.31,0.299,"WB","Compartment","muscat_edgeR"
"Sell","NK_cells",-0.297,9.14,3.62,0.0824,0.23,0.221,"WB","Compartment","muscat_edgeR"
"Atp1b1","NK_cells",0.874,8,32.2,0.00012,0.00406,0.00695,"WB","Compartment","muscat_edgeR"
"Xcl1","NK_cells",-0.972,8.28,25.5,0.000322,0.00752,0.0116,"WB","Compartment","muscat_edgeR"
"Sft2d2","NK_cells",-1.07,6.23,22.3,0.00055,0.0107,0.015,"WB","Compartment","muscat_edgeR"
"Tiprl","NK_cells",0.976,6.32,17.1,0.00149,0.0194,0.0249,"WB","Compartment","muscat_edgeR"
"Dcaf6","NK_cells",-0.132,5.9,0.235,0.637,0.783,0.776,"WB","Compartment","muscat_edgeR"
"Mpc2","NK_cells",0.134,6.33,0.304,0.592,0.753,0.744,"WB","Compartment","muscat_edgeR"
"Rcsd1","NK_cells",-1.04,7.93,37.4,0.0000618,0.00268,0.00494,"WB","Compartment","muscat_edgeR"
"Creg1","NK_cells",-0.109,5.98,0.232,0.639,0.785,0.778,"WB","Compartment","muscat_edgeR"
"Cd247","NK_cells",0.0736,8.03,0.187,0.674,0.809,0.804,"WB","Compartment","muscat_edgeR"
"Pou2f1","NK_cells",0.197,6.26,0.856,0.374,0.574,0.562,"WB","Compartment","muscat_edgeR"
"Tada1","NK_cells",0.87,5.78,10.4,0.00774,0.0551,0.058,"WB","Compartment","muscat_edgeR"
"Pogk","NK_cells",1.07,6.52,23.8,0.000427,0.00928,0.0135,"WB","Compartment","muscat_edgeR"
"Fam78b","NK_cells",-1.44,4.88,18.7,0.00108,0.0162,0.0213,"WB","Compartment","muscat_edgeR"
"Uck2","NK_cells",-0.692,5.59,9.13,0.0111,0.069,0.0705,"WB","Compartment","muscat_edgeR"
"Tmco1","NK_cells",0.409,5.78,2.7,0.127,0.3,0.289,"WB","Compartment","muscat_edgeR"
"Aldh9a1","NK_cells",0.353,5.23,1.48,0.248,0.451,0.436,"WB","Compartment","muscat_edgeR"
"Pbx1","NK_cells",-2.42,5.82,21.3,0.000653,0.0119,0.0165,"WB","Compartment","muscat_edgeR"
"Uhmk1","NK_cells",-0.175,6.61,0.733,0.409,0.605,0.594,"WB","Compartment","muscat_edgeR"
"Sh2d1b1","NK_cells",0.108,5.22,0.141,0.714,0.835,0.832,"WB","Compartment","muscat_edgeR"
"Nos1ap","NK_cells",-1.89,5.05,40.7,0.0000418,0.0021,0.00396,"WB","Compartment","muscat_edgeR"
"Atf6","NK_cells",-0.113,6.81,0.359,0.561,0.73,0.721,"WB","Compartment","muscat_edgeR"
"Fcgr2b","NK_cells",1.29,5.58,13.7,0.00327,0.0324,0.037,"WB","Compartment","muscat_edgeR"
"Fcgr3","NK_cells",-0.882,6.31,15.9,0.00193,0.023,0.0286,"WB","Compartment","muscat_edgeR"
"Sdhc","NK_cells",-0.0469,6.36,0.039,0.847,0.918,0.916,"WB","Compartment","muscat_edgeR"
"Fcer1g","NK_cells",1.08,10.7,60.6,0.00000632,0.000655,0.00147,"WB","Compartment","muscat_edgeR"
"Ndufs2","NK_cells",-0.012,6.58,0.00318,0.956,0.976,0.977,"WB","Compartment","muscat_edgeR"
"Ppox","NK_cells",-0.686,4.7,5,0.046,0.162,0.157,"WB","Compartment","muscat_edgeR"
"Ufc1","NK_cells",0.309,6.32,2.14,0.17,0.358,0.346,"WB","Compartment","muscat_edgeR"
"Pfdn2","NK_cells",0.395,6.76,4.81,0.0496,0.169,0.163,"WB","Compartment","muscat_edgeR"
"Arhgap30","NK_cells",0.193,8.17,1.52,0.242,0.444,0.43,"WB","Compartment","muscat_edgeR"
"Usf1","NK_cells",0.226,5.43,0.626,0.445,0.635,0.625,"WB","Compartment","muscat_edgeR"
"Cd244a","NK_cells",0.201,8.08,1.97,0.186,0.381,0.366,"WB","Compartment","muscat_edgeR"
"Ly9","NK_cells",0.557,7,11.1,0.00634,0.049,0.0522,"WB","Compartment","muscat_edgeR"
"Slamf7","NK_cells",0.572,7.09,4.46,0.0573,0.186,0.178,"WB","Compartment","muscat_edgeR"
"Cd48","NK_cells",0.982,7.74,40.7,0.0000417,0.0021,0.00396,"WB","Compartment","muscat_edgeR"
"Cd84","NK_cells",-0.679,8.09,17.2,0.00148,0.0194,0.0248,"WB","Compartment","muscat_edgeR"
"Slamf6","NK_cells",-2.37,5.28,45.4,0.0000252,0.00156,0.00303,"WB","Compartment","muscat_edgeR"
"Ncstn","NK_cells",0.145,6.15,0.416,0.532,0.707,0.698,"WB","Compartment","muscat_edgeR"
"Copa","NK_cells",0.17,7.51,1.13,0.31,0.513,0.5,"WB","Compartment","muscat_edgeR"
"Pex19","NK_cells",-0.0665,4.94,0.0324,0.86,0.926,0.923,"WB","Compartment","muscat_edgeR"
"Dcaf8","NK_cells",-0.162,6.7,0.598,0.455,0.644,0.634,"WB","Compartment","muscat_edgeR"
"Pea15a","NK_cells",0.773,6.28,10.2,0.00802,0.0563,0.0592,"WB","Compartment","muscat_edgeR"
"Pigm","NK_cells",0.000652,4.93,0.00000199,0.999,0.999,0.999,"WB","Compartment","muscat_edgeR"
"Tagln2","NK_cells",0.797,9.19,21.1,0.000679,0.0122,0.0169,"WB","Compartment","muscat_edgeR"
"Aim2","NK_cells",-0.164,6.17,0.344,0.569,0.735,0.727,"WB","Compartment","muscat_edgeR"
"Ifi206","NK_cells",-0.00575,5.84,0.000457,0.983,0.991,0.991,"WB","Compartment","muscat_edgeR"
"Ifi213","NK_cells",0.27,5.22,0.595,0.456,0.645,0.635,"WB","Compartment","muscat_edgeR"
"Ifi209","NK_cells",0.269,7.43,2.51,0.14,0.319,0.308,"WB","Compartment","muscat_edgeR"
"Ifi208","NK_cells",0.219,5.95,0.636,0.441,0.633,0.622,"WB","Compartment","muscat_edgeR"
"Mndal","NK_cells",-0.146,8.48,0.412,0.534,0.708,0.699,"WB","Compartment","muscat_edgeR"
"Ifi203","NK_cells",-0.0549,7.98,0.0672,0.8,0.89,0.888,"WB","Compartment","muscat_edgeR"
"Fh1","NK_cells",0.254,5.48,0.746,0.405,0.602,0.591,"WB","Compartment","muscat_edgeR"
"Cep170","NK_cells",-0.228,5.81,1.01,0.336,0.539,0.526,"WB","Compartment","muscat_edgeR"
"Sdccag8","NK_cells",-0.602,6.29,8.63,0.0129,0.0749,0.0762,"WB","Compartment","muscat_edgeR"
"Akt3","NK_cells",0.0435,6.55,0.039,0.847,0.918,0.916,"WB","Compartment","muscat_edgeR"
"Adss","NK_cells",0.0128,6.88,0.00329,0.955,0.976,0.977,"WB","Compartment","muscat_edgeR"
"Desi2","NK_cells",-0.198,6.1,0.493,0.496,0.678,0.668,"WB","Compartment","muscat_edgeR"
"Cox20","NK_cells",0.243,5.53,0.66,0.433,0.626,0.615,"WB","Compartment","muscat_edgeR"
"Hnrnpu","NK_cells",0.117,9.45,0.589,0.458,0.647,0.637,"WB","Compartment","muscat_edgeR"
"Smyd3","NK_cells",-0.496,7.33,5.75,0.0343,0.135,0.132,"WB","Compartment","muscat_edgeR"
"Tfb2m","NK_cells",0.52,5.24,2.87,0.117,0.287,0.275,"WB","Compartment","muscat_edgeR"
"Cnst","NK_cells",0.292,5.12,0.531,0.481,0.663,0.655,"WB","Compartment","muscat_edgeR"
"Ahctf1","NK_cells",0.174,6.52,0.599,0.454,0.643,0.634,"WB","Compartment","muscat_edgeR"
"Psen2","NK_cells",0.0397,5.59,0.0296,0.866,0.929,0.927,"WB","Compartment","muscat_edgeR"
"Itpkb","NK_cells",-0.395,7.94,5.04,0.0453,0.16,0.155,"WB","Compartment","muscat_edgeR"
"Parp1","NK_cells",-0.507,6.06,6.29,0.0282,0.119,0.118,"WB","Compartment","muscat_edgeR"
"Acbd3","NK_cells",0.381,6.15,2,0.184,0.377,0.363,"WB","Compartment","muscat_edgeR"
"H3f3a","NK_cells",0.212,9.8,2.51,0.14,0.319,0.307,"WB","Compartment","muscat_edgeR"
"Sde2","NK_cells",0.0114,5.73,0.00215,0.964,0.981,0.981,"WB","Compartment","muscat_edgeR"
"Nvl","NK_cells",-0.355,5.72,1.58,0.233,0.435,0.42,"WB","Compartment","muscat_edgeR"
"Cnih4","NK_cells",0.34,5.24,1.51,0.244,0.446,0.432,"WB","Compartment","muscat_edgeR"
"Wdr26","NK_cells",-0.213,7.85,0.846,0.377,0.576,0.564,"WB","Compartment","muscat_edgeR"
"Lbr","NK_cells",0.00868,7.49,0.00201,0.965,0.982,0.982,"WB","Compartment","muscat_edgeR"
"Srp9","NK_cells",0.266,7.42,2.56,0.136,0.313,0.302,"WB","Compartment","muscat_edgeR"
"Degs1","NK_cells",-0.123,6.48,0.196,0.666,0.803,0.799,"WB","Compartment","muscat_edgeR"
"Fbxo28","NK_cells",-0.698,5.91,7.64,0.0177,0.0909,0.0905,"WB","Compartment","muscat_edgeR"
"Trp53bp2","NK_cells",-0.0538,5.43,0.0357,0.853,0.921,0.92,"WB","Compartment","muscat_edgeR"
"Capn2","NK_cells",0.527,7.03,10,0.00844,0.0581,0.0607,"WB","Compartment","muscat_edgeR"
"Disp1","NK_cells",-1.27,4.3,9.52,0.00988,0.0641,0.0661,"WB","Compartment","muscat_edgeR"
"Brox","NK_cells",0.105,5.35,0.185,0.675,0.809,0.805,"WB","Compartment","muscat_edgeR"
"Aida","NK_cells",-0.204,5.38,0.507,0.49,0.673,0.663,"WB","Compartment","muscat_edgeR"
"Mia3","NK_cells",0.483,7.15,7.24,0.0203,0.0988,0.0977,"WB","Compartment","muscat_edgeR"
"Mtarc2","NK_cells",-0.187,7,1.18,0.3,0.503,0.49,"WB","Compartment","muscat_edgeR"
"Rab3gap2","NK_cells",-0.183,5.84,0.696,0.421,0.615,0.604,"WB","Compartment","muscat_edgeR"
"Iars2","NK_cells",-0.486,5.64,5,0.0459,0.162,0.156,"WB","Compartment","muscat_edgeR"
"Eprs","NK_cells",0.445,7.33,7,0.022,0.104,0.102,"WB","Compartment","muscat_edgeR"
"Gpatch2","NK_cells",-0.86,5.17,9.52,0.00985,0.0641,0.0661,"WB","Compartment","muscat_edgeR"
"Cenpf","NK_cells",-2.98,3.81,15.7,0.00206,0.024,0.0297,"WB","Compartment","muscat_edgeR"
"Smyd2","NK_cells",-2.6,3.63,19.8,0.000876,0.0143,0.0193,"WB","Compartment","muscat_edgeR"
"Angel2","NK_cells",0.472,5.67,3.54,0.0856,0.235,0.226,"WB","Compartment","muscat_edgeR"
"Ppp2r5a","NK_cells",-0.11,7.89,0.101,0.757,0.862,0.859,"WB","Compartment","muscat_edgeR"
"Ints7","NK_cells",-0.587,5.26,2.68,0.129,0.303,0.291,"WB","Compartment","muscat_edgeR"
"Lpgat1","NK_cells",-1.13,5.48,20.6,0.000748,0.0131,0.0179,"WB","Compartment","muscat_edgeR"
"Traf5","NK_cells",0.159,5.57,0.466,0.508,0.688,0.679,"WB","Compartment","muscat_edgeR"
"Utp25","NK_cells",-1.01,4.18,4.03,0.0689,0.207,0.199,"WB","Compartment","muscat_edgeR"
"Traf3ip3","NK_cells",0.101,7.22,0.144,0.711,0.834,0.83,"WB","Compartment","muscat_edgeR"
"Lamb3","NK_cells",1.2,6.56,39,0.0000513,0.00233,0.00447,"WB","Compartment","muscat_edgeR"
"Hsd11b1","NK_cells",0.5,8.13,8.9,0.0118,0.0714,0.073,"WB","Compartment","muscat_edgeR"
"A330023F24Rik","NK_cells",0.814,6.58,15.3,0.00223,0.0255,0.0308,"WB","Compartment","muscat_edgeR"
"Cd46","NK_cells",-0.439,4.54,1.55,0.238,0.439,0.425,"WB","Compartment","muscat_edgeR"
"Cr1l","NK_cells",0.445,7.32,4.9,0.0477,0.166,0.16,"WB","Compartment","muscat_edgeR"
"Nmt2","NK_cells",-0.0602,5.38,0.038,0.849,0.918,0.917,"WB","Compartment","muscat_edgeR"
"Dclre1c","NK_cells",-0.253,5.41,0.898,0.363,0.563,0.552,"WB","Compartment","muscat_edgeR"
"Hspa14","NK_cells",0.156,5.97,0.242,0.632,0.78,0.773,"WB","Compartment","muscat_edgeR"
"Fam107b","NK_cells",0.713,8.9,21,0.000698,0.0125,0.0172,"WB","Compartment","muscat_edgeR"
"Prpf18","NK_cells",-0.434,5.57,3.66,0.0808,0.228,0.219,"WB","Compartment","muscat_edgeR"
"Camk1d","NK_cells",-1.46,11.7,8.35,0.0141,0.0785,0.0802,"WB","Compartment","muscat_edgeR"
"Cdc123","NK_cells",-0.154,6.27,0.587,0.459,0.648,0.638,"WB","Compartment","muscat_edgeR"
"Nudt5","NK_cells",-0.599,4.96,4.55,0.0551,0.181,0.174,"WB","Compartment","muscat_edgeR"
"Upf2","NK_cells",0.217,5.96,0.763,0.4,0.597,0.586,"WB","Compartment","muscat_edgeR"
"Celf2","NK_cells",-0.0859,9.21,0.338,0.572,0.737,0.729,"WB","Compartment","muscat_edgeR"
"Gata3","NK_cells",-0.369,6.09,2.64,0.131,0.306,0.294,"WB","Compartment","muscat_edgeR"
"Taf3","NK_cells",-0.113,6.51,0.267,0.615,0.769,0.761,"WB","Compartment","muscat_edgeR"
"Atp5c1","NK_cells",0.0122,8.08,0.00627,0.938,0.967,0.966,"WB","Compartment","muscat_edgeR"
"Kin","NK_cells",0.104,5.51,0.127,0.728,0.844,0.841,"WB","Compartment","muscat_edgeR"
"Itih5","NK_cells",-0.761,6.08,11,0.00653,0.05,0.0531,"WB","Compartment","muscat_edgeR"
"Prkcq","NK_cells",-0.128,8.8,0.673,0.429,0.622,0.611,"WB","Compartment","muscat_edgeR"
"Pfkfb3","NK_cells",-0.662,5.74,5.14,0.0435,0.157,0.151,"WB","Compartment","muscat_edgeR"
"Rbm17","NK_cells",0.288,6.44,1.94,0.189,0.384,0.37,"WB","Compartment","muscat_edgeR"
"Fbh1","NK_cells",-0.423,4.87,1.33,0.272,0.477,0.463,"WB","Compartment","muscat_edgeR"
"Ankrd16","NK_cells",-0.0795,5.24,0.0543,0.82,0.902,0.9,"WB","Compartment","muscat_edgeR"
"Mindy3","NK_cells",-0.216,6.24,1.28,0.281,0.485,0.472,"WB","Compartment","muscat_edgeR"
"Rsu1","NK_cells",0.0915,6.02,0.173,0.685,0.817,0.812,"WB","Compartment","muscat_edgeR"
"Vim","NK_cells",0.477,10.1,9.83,0.00897,0.0606,0.0629,"WB","Compartment","muscat_edgeR"
"Stam","NK_cells",0.0171,4.79,0.00156,0.969,0.985,0.984,"WB","Compartment","muscat_edgeR"
"Nsun6","NK_cells",-0.693,5.09,5.24,0.0418,0.153,0.148,"WB","Compartment","muscat_edgeR"
"Arl5b","NK_cells",0.218,5.4,0.69,0.423,0.617,0.605,"WB","Compartment","muscat_edgeR"
"Mllt10","NK_cells",-0.121,7.39,0.498,0.494,0.676,0.667,"WB","Compartment","muscat_edgeR"
"Dnajc1","NK_cells",0.0201,8.31,0.0161,0.901,0.945,0.946,"WB","Compartment","muscat_edgeR"
"Commd3","NK_cells",-0.0161,6.14,0.00635,0.938,0.967,0.966,"WB","Compartment","muscat_edgeR"
"Bmi1","NK_cells",-0.375,4.85,0.795,0.391,0.59,0.578,"WB","Compartment","muscat_edgeR"
"Pip4k2a","NK_cells",-0.901,7.21,12.8,0.00398,0.0367,0.0409,"WB","Compartment","muscat_edgeR"
"Msrb2","NK_cells",-2,3.51,5.87,0.033,0.132,0.129,"WB","Compartment","muscat_edgeR"
"Arhgap21","NK_cells",-0.561,5.57,4.89,0.048,0.166,0.16,"WB","Compartment","muscat_edgeR"
"Apbb1ip","NK_cells",0.0473,9.18,0.117,0.739,0.85,0.848,"WB","Compartment","muscat_edgeR"
"Abi1","NK_cells",0.171,7.83,1.25,0.287,0.49,0.477,"WB","Compartment","muscat_edgeR"
"Acbd5","NK_cells",0.404,6.11,2.51,0.14,0.319,0.307,"WB","Compartment","muscat_edgeR"
"Yme1l1","NK_cells",0.486,6.78,5.41,0.0391,0.147,0.142,"WB","Compartment","muscat_edgeR"
"Spopl","NK_cells",-0.147,5.66,0.263,0.618,0.771,0.763,"WB","Compartment","muscat_edgeR"
"Psd4","NK_cells",-0.058,7.25,0.115,0.741,0.851,0.849,"WB","Compartment","muscat_edgeR"
"Ehmt1","NK_cells",-0.546,6.63,7.77,0.0169,0.0883,0.0887,"WB","Compartment","muscat_edgeR"
"Arrdc1","NK_cells",0.52,6.23,4.98,0.0464,0.163,0.157,"WB","Compartment","muscat_edgeR"
"Zmynd19","NK_cells",-1.24,4.08,4.67,0.0527,0.176,0.169,"WB","Compartment","muscat_edgeR"
"Mrpl41","NK_cells",-0.0694,5.25,0.0527,0.822,0.904,0.902,"WB","Compartment","muscat_edgeR"
"Pnpla7","NK_cells",-0.583,6.49,5.49,0.0379,0.143,0.14,"WB","Compartment","muscat_edgeR"
"Nrarp","NK_cells",0.0576,5.4,0.0427,0.84,0.915,0.913,"WB","Compartment","muscat_edgeR"
"Tor4a","NK_cells",-0.28,6.03,1.41,0.259,0.464,0.449,"WB","Compartment","muscat_edgeR"
"Nelfb","NK_cells",0.158,6.22,0.384,0.547,0.719,0.711,"WB","Compartment","muscat_edgeR"
"Tubb4b","NK_cells",0.324,7.88,1.91,0.194,0.39,0.375,"WB","Compartment","muscat_edgeR"
"Ndor1","NK_cells",-0.0118,4.83,0.00134,0.971,0.986,0.985,"WB","Compartment","muscat_edgeR"
"Ssna1","NK_cells",0.473,6.24,4.27,0.062,0.195,0.187,"WB","Compartment","muscat_edgeR"
"Anapc2","NK_cells",0.166,5.9,0.582,0.461,0.649,0.639,"WB","Compartment","muscat_edgeR"
"Man1b1","NK_cells",-0.1,5.19,0.125,0.73,0.845,0.843,"WB","Compartment","muscat_edgeR"
"Abca2","NK_cells",-0.852,5.92,13.1,0.00374,0.0354,0.0396,"WB","Compartment","muscat_edgeR"
"Paxx","NK_cells",-0.334,5.3,1.87,0.197,0.394,0.379,"WB","Compartment","muscat_edgeR"
"Traf2","NK_cells",-0.143,5.15,0.246,0.629,0.778,0.771,"WB","Compartment","muscat_edgeR"
"Edf1","NK_cells",0.279,8.04,1.39,0.263,0.467,0.452,"WB","Compartment","muscat_edgeR"
"Rabl6","NK_cells",-0.318,5.89,1.82,0.203,0.402,0.387,"WB","Compartment","muscat_edgeR"
"Ubac1","NK_cells",-0.401,5.2,2.4,0.148,0.331,0.318,"WB","Compartment","muscat_edgeR"
"Dnlz","NK_cells",-0.468,4.84,2.14,0.17,0.357,0.345,"WB","Compartment","muscat_edgeR"
"Snapc4","NK_cells",-1.19,4.26,8.55,0.0133,0.0759,0.0774,"WB","Compartment","muscat_edgeR"
"Entr1","NK_cells",0.234,6.16,0.52,0.485,0.667,0.659,"WB","Compartment","muscat_edgeR"
"Pmpca","NK_cells",0.00429,5.44,0.00026,0.987,0.994,0.994,"WB","Compartment","muscat_edgeR"
"Sec16a","NK_cells",-0.0306,6.06,0.0137,0.909,0.95,0.951,"WB","Compartment","muscat_edgeR"
"Notch1","NK_cells",-0.705,6.13,10.9,0.00672,0.051,0.054,"WB","Compartment","muscat_edgeR"
"Agpat2","NK_cells",0.459,5.19,2.73,0.125,0.299,0.286,"WB","Compartment","muscat_edgeR"
"Surf6","NK_cells",-0.584,4.93,3.7,0.0794,0.225,0.217,"WB","Compartment","muscat_edgeR"
"Rpl7a","NK_cells",-0.364,10.1,5.92,0.0322,0.13,0.127,"WB","Compartment","muscat_edgeR"
"Surf1","NK_cells",0.173,5.84,0.556,0.471,0.656,0.647,"WB","Compartment","muscat_edgeR"
"Surf2","NK_cells",-0.146,5.03,0.16,0.696,0.823,0.82,"WB","Compartment","muscat_edgeR"
"Surf4","NK_cells",0.293,6.25,1.43,0.255,0.459,0.444,"WB","Compartment","muscat_edgeR"
"Rexo4","NK_cells",0.317,5.67,0.961,0.347,0.549,0.537,"WB","Compartment","muscat_edgeR"
"Brd3","NK_cells",-0.0295,6.04,0.0182,0.895,0.944,0.943,"WB","Compartment","muscat_edgeR"
"Wdr5","NK_cells",0.264,5.49,0.631,0.443,0.634,0.624,"WB","Compartment","muscat_edgeR"
"Olfm1","NK_cells",0.248,5.99,0.941,0.352,0.554,0.542,"WB","Compartment","muscat_edgeR"
"Tsc1","NK_cells",-0.154,5.24,0.21,0.655,0.796,0.791,"WB","Compartment","muscat_edgeR"
"Ddx31","NK_cells",-0.326,4.59,0.657,0.434,0.626,0.616,"WB","Compartment","muscat_edgeR"
"Ttf1","NK_cells",-0.427,5.88,3.55,0.0849,0.235,0.225,"WB","Compartment","muscat_edgeR"
"Setx","NK_cells",0.0479,7.16,0.0609,0.809,0.896,0.893,"WB","Compartment","muscat_edgeR"
"Ntng2","NK_cells",-1.07,4.8,11.3,0.00594,0.0474,0.0506,"WB","Compartment","muscat_edgeR"
"Med27","NK_cells",-0.157,5.62,0.364,0.558,0.728,0.719,"WB","Compartment","muscat_edgeR"
"Rapgef1","NK_cells",-0.427,7.86,4.86,0.0485,0.167,0.161,"WB","Compartment","muscat_edgeR"
"Odf2","NK_cells",-0.17,6.22,0.469,0.507,0.687,0.677,"WB","Compartment","muscat_edgeR"
"Gle1","NK_cells",0.301,5.64,1.55,0.238,0.44,0.426,"WB","Compartment","muscat_edgeR"
